"IDENTIFIER","IDN_TRB_NM","TRIBE_AFFILIATION","LGC_ID"
CKiv0ohq25,MN Chippewa Trb-Bois Forte Bnd (Net,Chippewa                                ,"0302"
HSdeh3bq25,MN Chippewa TribeGrand Portage Band,Chippewa                                ,"0302"
I1Gfvh15E4,Trenton Indian Service Area        ,Chippewa                                ,"0302"
LAwHWS35E4,Lac Courte Oreilles Bnd/Lake Superi,Chippewa                                ,"0302"
"6IYCOFDq25",Lac Vieux Desert Band/Lake Superior,Chippewa                                ,"0302"
"7fmv0ZL5E4",St. Croix Chippewa Indians of WI   ,Chippewa                                ,"0302"
"9JefWqt5E4",Bad River Band/Lake Superior Tribe/,Chippewa                                ,"0302"
ObsHqtD5E4,Keweenaw Bay Indian Community      ,Chippewa                                ,"0302"
PKV0Valq25,Minnesota Chippewa Tribe           ,Chippewa                                ,"0302"
PLNVUZ9q25,Red Lake Band of Chippewa Indians  ,Chippewa                                ,"0302"
PLxq9DPq25,MN Chippewa Tribe -White Earth Band,Chippewa                                ,"0302"
Rfn4GZT5E4,Lac du Flambeau Bnd/Lake Superior C,Chippewa                                ,"0302"
UUAk9mRq25,Saginaw Chippewa Indian Tribe/MI   ,Chippewa                                ,"0302"
"0w93oIB5E4",Bay Mills Indian Community         ,Chippewa                                ,"0302"
"3PzvvSJ5E4",Hannahville Indian Community       ,Chippewa                                ,"0302"
"2LIm0W3q25",MN Chippewa Tribe - Leech Lake Band,Chippewa                                ,"0302"
"1VqWLMT9lV",Red Cliff Bnd/LakeSuperior Chippewa,Chippewa                                ,"0302"
"7CW10Ffq25",Sokaogon Chippewa Community        ,Chippewa                                ,"0302"
FLN1pcFq25,Fort Sill Apache Tribe of Oklahoma ,Chiricahua                              ,"0433"
dXs4a7rq25,Native Village of Chistochina      ,Chistochina                             ,"0065"
CcIugINq25,Chitimacha Tribe of Louisiana      ,Chitimacha                              ,"0304"
EjZXXjjq25,Native Village of Chitina          ,Chitina                                 ,"0015"
"4n3tHmd81i",Jena Band of Choctaw Indians       ,Choctaw                                 ,"0305"
F2KCWVvq25,The Choctaw Nation of Oklahoma     ,Choctaw                                 ,"0305"
PdFfUMxq25,Mississippi Band of Choctaw Indians,Choctaw                                 ,"0305"
dqcjYu3q25,Native Village of Chuathbaluk (Russ,Chuathbaluk                             ,"0039"
f4Di8f5q25,PicayuneRancheria/Chukchansi Ind/CA,Chuckchansi                             ,"0231"
FL4rVI7q25,Chuloonawick Native Village        ,Chuloonawick                            ,"0041"
PfRcwnJPqh,Coastal Band of the Chumash Nation ,Chumash                                 ,"0232"
Z1SerRLq25,Santa Ynez Bnd/Chumash Mission Ind/,Chumash                                 ,"0232"
"2BBgOhjOwQ",Tejon Indian Tribe                 ,Chumash                                 ,"0232"
"4KtOA8gFht",Tejon Indian Tribe                 ,Chumash                                 ,"0232"
FdpWU4Jq25,Circle Native Community 2          ,Circle                                  ,"0042"
Elchq0dq25,Village of Clarks Point            ,Clark's Point                           ,"0221"
GY5VQOtq25,Cocopah Tribe of Arizona           ,Cocopah                                 ,"0306"
GqqAPB5q25,Coeur D'Alene Tribe                ,Coeur D'Alene                           ,"0307"
R90yOFvq25,Colorado River Indian Tribes       ,Colorado River                          ,"0434"
SGvh2PK37T,Colorado River Tribal Council      ,Colorado River                          ,"0434"
HSLUMjTq25,Confederated Tribes/Colville Res   ,Colville                                ,"0308"
"5nakUKd9lV",Comanche Nation                    ,Comanche                                ,"0428"
"37IeIDq37T",Round Valley Ind Trbs/RoundValleyRe,Concow                                  ,"0233"
TGHbFhHq25,Mooretown Rancheria/Maidu Inds/CA  ,Concow                                  ,"0233"
UlSZUvzq25,Coquille Indian Tribe              ,Coquille                                ,"0309"
VfiYRGZq25,Coushatta Tribe of Louisiana       ,Coushatta                               ,"0310"
KJikiqnCyw,Alabama-Coushatta Tribe of Texas   ,Coushatta                               ,"0310"
"65TmVqbCyw",Cowlitz Indian Tribe               ,Cowlitz                                 ,"0435"
ZIkUCatq25,Craig Tribal Association           ,Craig                                   ,"0044"
CJYFhWBq25,Chippewa Cree Inds/Rocky Boy's Res ,Cree                                    ,"0436"
f3LD9ghq25,Kialegee Tribal Town               ,Creek                                   ,"0311"
iOUyvDDq25,Poarch Band of Creeks              ,Creek                                   ,"0311"
PeQKnfTq25,Thlopthlocco Tribal Town           ,Creek                                   ,"0311"
R88TPHXq25,Alabama-Quassarte Tribal Town      ,Creek                                   ,"0311"
UAXaC1rq25,The Muscogee (Creek) Nation        ,Creek                                   ,"0311"
eS83WSRq25,Village of Crooked Creek           ,Crooked Creek                           ,"0045"
ZuFoA9Hq25,Crow Tribe of Montana              ,Crow                                    ,"0312"
QWU1EhA00P,San Jose Band Rancheria            ,Cupeno                                  ,"0234"
"3tzkotD5E4",Ak Chin Indian Community           ,Dapaco                                  ,"0313"
aoVn6Trq25,Ak-Chin Indian Community           ,Dapaco                                  ,"0313"
eksiVEdq25,Native Village of Deering          ,Deering                                 ,"0046"
DDxaJ7xCyw,Delaware Tribe of Indians          ,Delaware                                ,"0437"
TkDACTrFht,Delaware Nation                    ,Delaware                                ,"0437"
FePr8iZq25,Manzanita Bnd/Diegueno Mission Inds,Diegueno                                ,"0235"
aVl87hfq25,Ewiiaapaayp Band of Kumeyaay       ,Diegueno                                ,"0235"
"6bIrN1Pq25",Capitan Grnde Bnd/Viejas(Baron Long,Diegueno                                ,"0235"
aW3IS1nq25,Jamul Indian Village of California ,Diegueno                                ,"0235"
iN29HaZq25,Ewiiaapaayp Band/Kumeyaay Inds     ,Diegueno                                ,"0235"
HABA2bXq25,Mesa Grande Bnd/Diegueno Mission In,Diegueno                                ,"0235"
Ju7mAtnq25,Sycuan Band of Kumeyaay Nation     ,Diegueno                                ,"0235"
i4HUIoNq25,Campo Bnd/Diegueno Mission Ind/Camp,Diegueno                                ,"0235"
VylNkMtq25,Inaja Band & Cosmit Reservation    ,Diegueno                                ,"0235"
Vzw33fPq25,San Pasqual Bnd/Diegueno MissionInd,Diegueno                                ,"0235"
YzhetUZq25,Capitan Grnde Bnd/(Barona Group/)  ,Diegueno                                ,"0235"
ZKDJqDXq25,Iipay Nation of Santa Ysabel       ,Diegueno                                ,"0235"
"1jnS2xfq25",La Posta Bnd/Diegueno Mission Ind/ ,Diegueno                                ,"0235"
QYO9Pfvq25,Rincon Bnd/Luiseno Mission Ind/Rinc,Diegueno                                ,"0235"
fMO2Sn1q25,Native Village of Dillingham       ,Dillingham                              ,"0048"
ff8hRZDq25,Native Village of Diomede (Inalik) ,Diomede                                 ,"0051"
F4NMompq25,Village of Dot Lake                ,Dot Lake                                ,"0052"
feYMmuxq25,Douglas Indian Association (IRA)   ,Douglas                                 ,"0088"
FN81nZ1q25,Native Village of Eagle            ,Eagle                                   ,"0053"
igfJFL9q25,Native Village of Eek              ,Eek                                     ,"0054"
"6GnCQIRq25",Egegik Village                     ,Egegik                                  ,"0055"
"6ZXrP4dq25",Eklutna Native Village             ,Eklutna                                 ,"0040"
izPyE7Lq25,Native Village of Ekuk             ,Ekuk                                    ,"0056"
"6sIWNqpq25",Native Village of Ekwok            ,Ekwok                                   ,"0057"
kCQc9E7q25,Native Village of Elim             ,Elim                                    ,"0058"
BidGOc3q25,Lower Elwha Tribal Community       ,Elwha                                   ,"0314"
Ao577xLq25,Emmonak Village                    ,Emmonak                                 ,"0059"
